artists,genres
Brigitte Fontaine,"['chanson', 'laboratorio']"
Brigitte Fontaine & Jacques Higelin,[]
Brijmala,[]
Bring Bliss,[]
Bring Me The Horizon,"['melodic metalcore', 'metalcore', 'uk metalcore']"
Brinquinho e Brioso,[]
Brinsley Schwarz,"['classic uk pop', 'country rock', 'power pop', 'pub rock', 'roots rock']"
Brinson,[]
Brisco,"['dirty south rap', 'miami hip hop', 'southern hip hop', 'trap']"
Briston Maroney,"['indie pop', 'modern rock', 'nashville indie']"
Britney Spears,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']"
Britny Fox,"['glam metal', 'hard rock', 'sleaze rock']"
Britt Nicole,"['ccm', 'cedm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']"
Britt Woodman,['jazz trombone']
Brittany Snow,['hollywood']
Bro Safari,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'moombahton']"
Broadcast,"['environmental', 'sleep', 'sound']"
Broadside,"['anthem emo', 'pop punk']"
Broadway Bell Hops,[]
Broadway Cast,['broadway']
Broadway Cast of Beauty and the Beast,[]
Brock Berrigan,['chillhop']
Brogren mï¿½ï¿½ Teddy,[]
Broiler,"['nordic house', 'norwegian pop', 'tropical house']"
Broken Bells,"['alternative dance', 'alternative rock', 'dance-punk', 'indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'new rave', 'rock', 'shimmer pop']"
Broken Bones,"['funk', 'indie folk', 'retro soul', 'soul']"
Broken Element,"['euphoric hardstyle', 'hardstyle']"
Broken Fly,[]
Broken Heart,"['canadian metal', 'christian metal', 'melodic metalcore']"
Broken Social Scene,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'canadian rock', 'chillwave', 'dance-punk', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'nu gaze', 'stomp and holler']"
Bronco,"['grupera', 'gruperas inmortales', 'latin pop', 'norteno', 'regional mexican']"
Bronco El Gigante de America,['grupera']
Bronisilau Kaper,[]
Bronski Beat,"['dance rock', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']"
Bronze Radio Return,"['connecticut indie', 'indie folk', 'indie pop', 'indie poptimism', 'indiecoustica', 'modern alternative rock', 'modern rock', 'pop rock', 'shimmer pop', 'stomp and holler', 'stomp pop']"
Broods,"['auckland indie', 'australian pop', 'electropop', 'etherpop', 'indie electropop', 'indie pop', 'indie poptimism', 'indietronica', 'metropopolis', 'nz pop', 'pop', 'shimmer pop', 'tropical house', 'vapor soul']"
Brook Benton,"['adult standards', 'brill building pop', 'motown', 'rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']"
Brooke Griffith,[]
Brooke Valentine,"['hip pop', 'r&b', 'urban contemporary']"
Brooke Williams,[]
Brooklyn,['classify']
Brooklyn Bridge,[]
Brooklyn Dreams,['deep soft rock']
Brooklyn Duo,['classify']
Brooklynn,[]
Brooks & Dunn,"['contemporary country', 'country', 'country road']"
Brooks Arthur,[]
Brooks Jefferson,[]
Brooks Smith,[]
Brotha Lynch Hung,"['gangster rap', 'hip hop', 'horrorcore', 'hyphy', 'rap', 'sacramento hip hop', 'west coast rap', 'west coast trap']"
Brother Ali,"['abstract hip hop', 'alternative hip hop', 'conscious hip hop', 'hip hop', 'minnesota hip hop', 'political hip hop', 'underground rap']"
Brother Cane,['modern hard rock']
Brother Dege,"['gothic americana', 'lafayette indie', 'modern blues rock', 'rebel blues']"
Brother John Sellers,[]
Brother Noland,"['hawaiian', 'jawaiian']"
Brother Yusef,[]
Brothers Osborne,"['contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']"
Brown Bird,"['maine indie', 'new americana', 'rhode island indie', 'stomp and holler']"
Brown Boy,"['chicano rap', 'latin hip hop']"
Brown Eyed Girls,"['k-pop', 'k-pop girl group']"
Brown Noise,['white noise']
Brown Noise for Babies,['white noise']
Brown's Chapel School,[]
Brownie McGhee,"['acoustic blues', 'blues', 'country blues', 'piedmont blues', 'traditional blues']"
Brownside,"['chicano rap', 'latin hip hop', 'west coast rap']"
Brownstone,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Brownsville Station,"['album rock', 'blues rock', 'classic rock', 'country rock', 'michigan indie', 'southern rock']"
Brray,"['reggaeton flow', 'trap latino']"
Bruce Adler,['movie tunes']
Bruce Broughton,"['classic soundtrack', 'movie tunes', 'soundtrack']"
Bruce Brubaker,"['classical piano', 'compositional ambient', 'contemporary classical piano', 'neo-classical']"
Bruce Brus,['white noise']
Bruce Channel,['rock-and-roll']
Bruce Cockburn,"['canadian singer-songwriter', 'classic canadian rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'roots rock', 'singer-songwriter', 'traditional folk']"
Bruce Dickinson,"['album rock', 'hard rock', 'metal', 'power metal', 'rock']"
Bruce Faulconer,"['anime score', 'scorecore']"
Bruce Hornsby,"['album rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'pop rock', 'soft rock']"
Bruce Prince-Joseph,[]
Bruce Reitherman,"['disney', 'movie tunes']"
Bruce Rowland,"['australian classical', 'oceania soundtrack']"
Bruce Scott,[]
Bruce Springsteen,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
Bruce Waynne,[]
Bruce Willis,['hollywood']
Bruce Yarnell,[]
Bruddah Waltah,"['hawaiian', 'jawaiian']"
Bruno Campos,[]
Bruno Coulais,"['bajki', 'french soundtrack', 'soundtrack']"
Bruno Erminero,[]
Bruno Grella,[]
Bruno Henriksens Danseorkester,[]
Bruno Major,"['alternative r&b', 'pop']"
Bruno Mars,"['dance pop', 'pop']"
Bruno Nicolai,"['classic soundtrack', 'vintage italian soundtrack']"
Bruno Walter,"['classical performance', 'historic orchestral performance', 'orchestral performance']"
Bryan & Katie Torwalt,"['anthem worship', 'ccm', 'christian music', 'norsk lovsang', 'world worship', 'worship']"
Bryan Adams,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']"
Bryan Bowers,"['autoharp', 'comic']"
Bryan Choy Hin Lok,[]
Bryan Ferry,"['album rock', 'art rock', 'classic uk pop', 'dance rock', 'glam rock', 'melancholia', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'sophisti-pop']"
Bryan J,[]
Bryan Russell,[]
Bryan White,"['country', 'oklahoma country']"
Bryan-Michael Cox,[]
Bryant Myers,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
Bryant Oden,"[""children's music""]"
Bryce Fox,"['indie poptimism', 'modern alternative rock', 'modern rock', 'rebel blues']"
Bryce Vine,"['pop', 'pop rap']"
Bryden Thomson,[]
Brye,"['indie pop', 'modern indie pop']"
Bryson Tiller,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap']"
Brytiago,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
Bs (A. Whiteman),[]
Bsharry,[]
Bubba Sparxxx,"['atl hip hop', 'country rap', 'dirty south rap', 'pop rap', 'redneck', 'southern hip hop']"
Bubbles,[]
Buck & Bubbles,[]
Buck Clayton,"['big band', 'jazz trumpet', 'stride', 'swing']"
Buck Meek,"['indie folk', 'small room']"
Buck Owens,"['bakersfield sound', 'country', 'country rock', 'cowboy western']"
Buck Shot,[]
Buck-O-Nine,"['modern ska punk', 'ska', 'ska punk']"
Buckcherry,"['alternative metal', 'glam metal', 'hard rock', 'nu metal', 'post-grunge', 'rock', 'sleaze rock']"
Buckethead,"['funk metal', 'instrumental rock', 'neo classical metal', 'shred']"
Buckshot LeFonque,['jazz rap']
Buckwheat Zydeco,"['swamp pop', 'zydeco']"
Bucky Covington,"['contemporary country', 'country', 'country road', 'modern country rock']"
Bud Freeman,"['jazz saxophone', 'new orleans jazz']"
Bud Powell,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz piano', 'soul jazz', 'stride', 'swing', 'vocal jazz']"
Bud Powell Trio,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz trio', 'stride']"
Bud Powell's Modernists,[]
Bud Shank,"['cool jazz', 'jazz saxophone']"
Bud Shank Quintet,[]
Budapest Failoni Chamber Orchestra,['chamber orchestra']
Budapest Festival Orchestra,"['hungarian classical performance', 'orchestra']"
Budapest String Quartet,"['historic classical performance', 'historic string quartet', 'string quartet']"
Budapest Symphony Orchestra,[]
Buddy,"['alternative r&b', 'cali rap', 'rap', 'trap soul', 'underground hip hop']"
Buddy Baker,[]
Buddy Banks,[]
Buddy Banks Sextet,[]
Buddy Bregman,[]
Buddy Bregman Orchestra,[]
Buddy Brown,"['country pop', 'country rap', 'country road', 'modern country rock', 'redneck']"
Buddy Castle,[]
Buddy Clark,[]
Buddy Cole & His Orchestra,[]
Buddy Cole Trio,[]
Buddy Collette,['jazz flute']
Buddy DeFranco,"['classical clarinet', 'cool jazz', 'jazz clarinet']"
Buddy Ebsen,[]
Buddy Emmons,['steel guitar']
Buddy Fo,['lounge']
Buddy Fo & His Group,['lounge']
Buddy Greco,"['adult standards', 'lounge', 'vocal jazz']"
Buddy Guy,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'country blues', 'electric blues', 'modern blues', 'soul blues', 'traditional blues']"
Buddy Holly,"['adult standards', 'brill building pop', 'folk rock', 'lounge', 'rock-and-roll', 'rockabilly']"
Buddy Jewell,"['country', 'country road']"
Buddy Knox,"['deep adult standards', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
Buddy Miles,"['funk', 'psychedelic soul', 'rock drums']"
Buddy Moss,"['piedmont blues', 'traditional blues']"
Buddy Rich,"['bebop', 'big band', 'jazz', 'jazz drums']"
Buddy Rich And His Sextet,[]
Buddy Tate,['jazz saxophone']
Buddy Weed,[]
Buddy Woods,[]
Budgie,['indie r&b']
Buell Kazee,"['appalachian folk', 'banjo', 'kentucky mountain folk', 'old-time', 'vintage country folk']"
Buena Vista Social Club,"['latin jazz', 'musica tradicional cubana', 'world']"
Buffalo Springfield,"['blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
Buffalo Tom,"['alternative pop', 'alternative rock', 'boston rock', 'power pop']"
Buffy Sainte-Marie,"['american folk revival', 'canadian indigenous', 'canadian singer-songwriter', 'folk', 'native american contemporary', 'traditional folk']"
Bugarinovic,[]
Building 429,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop', 'christian rock', 'worship']"
Built To Spill,"['alternative pop', 'alternative rock', 'anti-folk', 'canadian indie', 'freak folk', 'garage psych', 'idaho indie', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'stomp and holler']"
Buju Banton,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'reggae fusion', 'roots reggae']"
Bukanas De Culiacan,['deep regional mexican']
Bukka White,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'traditional blues', 'traditional folk']"
Buknas De Culiacan,"['corrido', 'deep regional mexican', 'regional mexican']"
Bulgarian Women's Choir,"[""women's choir""]"
Bull Moose Jackson,"['jump blues', 'rhythm and blues']"
Bullet For My Valentine,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'pop punk', 'uk metalcore', 'welsh metal']"
Bulletboys,"['glam metal', 'hard rock', 'sleaze rock']"
Bullets And Octane,[]
Bulo C.Rani,[]
Bumblebee Unlimited,['deep disco']
Bumpin Uglies,"['east coast reggae', 'reggae rock']"
Bun B,"['latin', 'reggaeton', 'trap latino']"
Bunbury,"['latin alternative', 'latin rock', 'rock en espanol']"
Bunk Johnson,"['dixieland', 'jazz trumpet', 'new orleans jazz']"
Bunny Berigan,"['big band', 'jazz trumpet', 'stride', 'swing', 'vintage jazz']"
Bunny Berigan and His Orchestra,[]
Bunny Wailer,"['dub', 'lovers rock', 'reggae', 'roots reggae', 'ska']"
Burak Yeter,['electro house']
Burbank,['lo-fi beats']
Burden,['redneck']
Burial,"['deathcore', 'djent', 'melodic metalcore', 'metalcore', 'minneapolis metal', 'progressive metalcore']"
Burke Moses,['movie tunes']
Burl Ives,"['adult standards', 'american folk revival']"
Burna Boy,"['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
Burners Girl,[]
Burning Spear,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']"
Burt Bacharach,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
Burt Bales,['ragtime']
Burt Lahr,[]
Burt Reynolds,[]
Burton Cummings,"['canadian singer-songwriter', 'classic canadian rock', 'mellow gold']"
Burton Lane,['broadway']
Burzum,"['ambient black metal', 'atmospheric black metal', 'autonomous black metal', 'black metal', 'dungeon synth', 'metal', 'norwegian black metal', 'norwegian metal', 'pagan black metal', 'tolkien metal']"
Busch Chamber Players,[]
Busch Quartet,"['historic classical performance', 'historic string quartet', 'streichquartett', 'string quartet']"
Busdriver,"['abstract hip hop', 'alternative hip hop', 'escape room']"
Bush,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']"
Bushman,"['dancehall', 'lovers rock', 'modern reggae', 'old school dancehall', 'reggae', 'roots reggae']"
Bushwick Bill,"['dirty texas rap', 'g funk', 'gangster rap']"
Bushy,['florida rap']
Busta Rhymes,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']"
Busta Rhymes for Flipmode Entertainment,[]
Busted,"['boy band', 'dance pop', 'europop', 'modern rock', 'pop punk']"
Buster Brown,['jump blues']
Buster Harding & His Orchestra,[]
Buster Keaton,[]
Buster Poindexter And His Banshees Of Blue,[]
Busy Signal,"['dancehall', 'lovers rock', 'reggae fusion']"
Butch Cassidy,"['g funk', 'west coast rap']"
Butch Dayo,[]
Butterbeans & Susie,[]
Butterfly Boucher,"['acoustic pop', 'lilith']"
Butthole Surfers,"['alternative rock', 'experimental rock', 'grunge', 'noise rock', 'post-hardcore', 'post-punk', 'psychedelic punk', 'punk']"
Buttnaked Tim Dawg,[]
Buzzcocks,"['alternative rock', 'art rock', 'dance rock', 'hardcore punk', 'madchester', 'new wave', 'post-punk', 'pub rock', 'punk', 'ska', 'uk post-punk']"
By2,"['cantopop', 'mandopop', 'singaporean mandopop', 'singaporean pop']"
Bye Bye Birdie Ensemble,[]
Bye Bye Birdie Orchestra,[]
Byron Cage,"['contemporary gospel', 'gospel']"
Byron Janis,"['american classical piano', 'classical piano']"
Byron Lee & The Dragonaires,"['chutney', 'rock steady']"
Byron Utley,[]
Bï¿½ï¿,"['modern rock', 'pop']"
Bï¿½ï¿½bï¿½ï¿,[]
Bï¿½ï¿½la Bar,"['classical', 'early modern classical', 'neoclassicism']"
Bï¿½ï¿½la Dr,['hungarian classical performance']
Bï¿½ï¿½la F,"['banjo', 'bluegrass', 'instrumental bluegrass', 'jam band', 'old-time', 'progressive bluegrass']"
Bï¿½ï¿½la Fleck and the Fleckt,"['jam band', 'jazz fusion', 'progressive bluegrass', 'progressive jazz fusion']"
Bï¿½ï¿½la ,[]
Bï¿½ï¿,['progressive house']
Bï¿½ï¿½rge Roger Henrichsen & Niels ,[]
Bï¿½ï¿½rge Roger Henrichsen & hans Kvi,[]
Bï¿½ï¿½rge Roger Henrichsens ,[]
C & C Music Factory,"['diva house', 'eurodance', 'hip house']"
C Minor,[]
C S R Anjaneyulu,[]
C-Alvin,"[""children's music""]"
C-BONY,[]
C-Bo,"['funk', 'p funk', 'quiet storm', 'soul']"
C-Bone,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'southern hip hop', 'trap']"
C-Kan,"['latin hip hop', 'mexican hip hop', 'rap conciencia', 'trap mexicano']"
C-Loc,"['baton rouge rap', 'deep southern trap']"
C-Mob,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
C-Murder,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'new orleans rap', 'southern hip hop', 'wrestling']"
C-Nile,['alabama rap']
C-PO,"['comic', 'rap rock']"
C-Rayz Walz,"['bronx hip hop', 'conscious hip hop']"
C-Rock,"['black comedy', 'comedy']"
C. Ashwath,"['kannada bhava geethe', 'sandalwood']"
C. H. Atma,"['classic bollywood', 'ghazal']"
C. Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
C. K. Revamma,[]
C. Parlato,[]
C. R. Subburaman,[]
C. Ramchandra,['classic bollywood']
C. Rivera,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']"
C. S. Jayaraman,[]
C. Sigman,['tin pan alley']
C.B. And Ten Others With Axes,[]
C.P.O.,['g funk']
C.W. McCall,"['comic', 'truck-driving country']"
C2C,"['nantes indie', 'turntablism']"
C418,['minecraft']
CADE,"['corrido', 'norteno', 'regional mexican']"
CAN,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
CARLOS MATA,['pop romantico']
CARYS,['canadian electropop']
CASIOPEA,"['japanese jazz', 'japanese jazz fusion', 'jazz fusion']"
CAZZETTE,"['big room', 'complextro', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
CBC Symphony Orchestra,[]
CBE,[]
CDM Project,[]
CES Cru,['kansas city hip hop']
CG5,['otacore']
CHAD,"['compositional ambient', 'neo-classical', 'new age piano']"
CHANYEOL,['k-pop']
CHASE B,[]
CHEMISTRY,['j-pop']
CHEN,"['reggaeton', 'trap latino']"
CHIC,"['contemporary country', 'country', 'country dawn']"
CHROMANCE,['modern indie pop']
CHVRCHES,"['electropop', 'indie pop', 'indie poptimism', 'metropopolis', 'neo-synthpop', 'shimmer pop']"
CIKI,['korean r&b']
CJ,[]
CJ Alexis,[]
CJ Dreo,[]
CJ Fly,['underground hip hop']
CKY,"['alternative metal', 'nu metal', 'rap rock']"
CL,"['bedroom pop', 'boston indie']"
CLAVISOLO Stefan MAY,[]
CLOVES,['australian alternative pop']
CNCO,"['boy band', 'latin', 'latin pop', 'reggaeton', 'tropical']"
COIN,"['indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop']"
CORPSE,[]
CRUCIFIX,"['country rap', 'redneck']"
CRUISR,"['hopebeat', 'indie pop', 'indie poptimism', 'modern rock', 'philly indie']"
CRYSTAL KING,[]
CVBZ,"['pop dance', 'pop edm']"
Ca$h Out,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
Ca$his,[]
Caamp,"['indie folk', 'new americana', 'stomp and holler']"
Cab Calloway,"['big band', 'harlem renaissance', 'jazz blues', 'swing']"
Cab Calloway & His Orchestra,"['big band', 'swing']"
Cab Calloway & His Orchestra; vocal by Cab Calloway & The Palmer Brothers,[]
Caballo Dorado,['regional mexican']
Cabaret Ensemble,[]
Cabaret Ensemble (1998),[]
Cabaret Voltaire,"['bleep techno', 'british experimental', 'british industrial', 'dance rock', 'ebm', 'experimental', 'experimental rock', 'gothic rock', 'industrial', 'industrial rock', 'new romantic', 'new wave', 'post-punk', 'proto-techno', 'synthpop', 'uk post-punk']"
Cabas,"['colombian pop', 'colombian rock', 'ecuadorian pop', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'reggaeton colombiano', 'rock en espanol']"
Cabu,"['indie soul', 'vapor twitch']"
Cachorro,"['corrido', 'deep regional mexican', 'norteno', 'regional mexican', 'tex-mex']"
Cactus,[]
Cade Walker,[]
Cadillac,"['contemporary country', 'modern southern rock']"
Cadillac Don & J-Money,['southern hip hop']
Cadillac Tah,[]
Cady Groves,"['alternative pop rock', 'neon pop punk', 'pop emo']"
Caedmon's Call,"['ccm', 'christian alternative rock', 'christian music', 'roots worship', 'worship']"
Caesars,['swedish indie rock']
Caetano Veloso,"['bossa nova', 'mpb', 'samba de roda', 'tropicalia']"
Cafï¿½ï¿½ Qui,"['cantautor', 'latin pop', 'rumba', 'spanish pop']"
Cafï¿½ï¿½ Ta,"['latin', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol']"
Cage,"['indie rock', 'modern alternative rock', 'modern rock', 'punk blues', 'rock']"
Cage The Elephant,"['indie rock', 'modern alternative rock', 'modern rock', 'punk blues', 'rock']"
Cai Xian Le,[]
Caifanes,"['latin alternative', 'latin rock', 'mexican rock', 'nu-cumbia', 'rock en espanol', 'rock urbano mexicano']"
Cailin Russo,['la pop']
Caillou,"[""canadian children's music"", 'cartoon', ""children's music"", 'musique pour enfant quebecois']"
Caitlin & Will,['country dawn']
Cajmere,"['chicago house', 'deep house', 'footwork']"
Cake,"['alternative rock', 'modern rock', 'pop rock', 'rock', 'sacramento indie']"
Cal Smith,"['classic country pop', 'oklahoma country']"
Cal Tjader,"['bossa nova', 'cool jazz', 'exotica', 'jazz', 'jazz funk', 'jazz vibraphone', 'latin jazz', 'lounge', 'soul jazz']"
Cal Tjader Quartet,[]
Cal Tjader's Modern Mambo Quintet,[]
Calboy,"['chicago rap', 'melodic rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
Calcutta Youth Choir,"[""children's choir""]"
Caldiero Trio,[]
Caleb Belkin,"['chillhop', 'lo-fi beats']"
Caleb Hyles,['otacore']
Caleb Quaye,[]
Cali Agents,"['alternative hip hop', 'hardcore hip hop', 'jazz rap', 'turntablism', 'underground rap']"
Cali Big Band,['salsa colombiana']
Cali Carranza,['tejano']
Cali Life Style,"['chicano rap', 'latin hip hop']"
Cali Swag District,['pop rap']
Cali Y El Dandee,"['champeta', 'colombian pop', 'electro latino', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'tropical']"
Calibre 50,"['corrido', 'nuevo regional mexicano', 'regional mexican']"
California Dreamers,[]
Calixto Ochoa,"['classic colombian pop', 'cumbia']"
Calixto Ochoa y Su Conjunto,['cumbia']
Call Me Karizma,"['emo rap', 'minnesota hip hop', 'modern alternative rock', 'modern rock', 'pop rap', 'social media pop']"
Call Me Madam Ensemble,[]
Callalily,"['opm', 'pinoy rock']"
Calle 13,"['latin', 'latin afrobeat', 'latin alternative', 'latin hip hop', 'puerto rican rock', 'rap conciencia', 'reggaeton', 'rock en espanol', 'tropical']"
Calle Lehmann,[]
Callie Hernandez,[]
Calloway,"['big band', 'harlem renaissance', 'jazz blues', 'swing']"
Cally Kwong,"['c-pop', 'classic cantopop', 'classic mandopop']"
Calming Rainforest Sounds,"['environmental', 'sleep']"
Calming Sounds,['sleep']
Calmsound,"['environmental', 'sleep']"
Calo,"['guadalajara indie', 'latin alternative', 'latin rock', 'mexican indie']"
Calum Scott,"['neo mellow', 'pop', 'viral pop']"
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
Calvin Richardson,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Cam,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
Cam Clarke,[]
Cam Meekins,"['boston hip hop', 'deep underground hip hop', 'indie pop rap', 'pop rap']"
Cam O'bi,[]
Camarata Chorus and Orchestra,[]
Camaron De La Isla,"['cante flamenco', 'flamenco', 'nuevo flamenco', 'rumba']"
Camayenne Sofa,['west african jazz']
Camel,"['deep tech house', 'disco house', 'edm', 'house', 'pop dance', 'progressive house', 'tropical house']"
Camel MC,[]
Cameo,"['disco', 'electro', 'funk', 'motown', 'new jack swing', 'popping', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
Camera Obscura,"['indie pop', 'scottish indie', 'twee pop']"
Camerata Academica des Mozarteums Salzburg,['austrian orchestra']
Cameron Boyce,[]
Cameron Mizell,[]
Cameron Seely,['movie tunes']
Camila,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
Camila Cabello,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
Camille,"['classical', 'french romanticism', 'late romantic era']"
Camille Decreus,['french romanticism']
Camille Saint-Saï¿½ï,"['classical', 'french romanticism', 'late romantic era']"
Camille Yarbrough,['psychedelic soul']
Camilo,"['colombian pop', 'latin', 'reggaeton colombiano']"
Camilo Sesto,"['bolero', 'latin', 'latin pop']"
Camouflage,"['dance rock', 'ebm', 'futurepop', 'new romantic', 'new wave', 'synthpop']"
Camp Lo,"['alternative hip hop', 'bronx hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'southern hip hop']"
Campa,[]
Campeche Show,"['chunchaca', 'cumbia sonidera']"
Camper Van Beethoven,"['alternative pop', 'alternative rock', 'gbvfi', 'jangle pop']"
Camping with Penguins,[]
Camï¿½ï¿½,"['battle rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Can't Hang,[]
Canaan Smith,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']"
Canadian Brass,"['brass band', 'brass ensemble', 'brass quintet']"
Canadian Cast of 'Phantom Of The Opera',[]
Canciones De Cuna,['musica para ninos']
Candace,[]
Candeia,"['choro', 'pagode', 'partido alto', 'samba', 'velha guarda']"
Candi Staton,"['classic soul', 'disco', 'motown', 'quiet storm', 'soul', 'southern soul']"
Candide Ensemble,[]
Candide Ensemble & Orchestra,[]
Candide Orchestra,[]
Candido,[]
Candido Camero,['jazz cubano']
"Candido das Neves ""Indio""",[]
Candlebox,"['alternative metal', 'alternative rock', 'grunge', 'pop rock', 'post-grunge', 'rock']"
Candlemass,"['death metal', 'doom metal', 'epic doom', 'hard rock', 'metal', 'opera metal', 'swedish doom metal', 'swedish metal']"
Candy Candido,[]
Candy Dulfer,"['modern funk', 'smooth jazz']"
Candy Johnson,[]
Candy Lo,"['c-pop', 'cantopop', 'chinese indie']"
Candyman,[]
Canhoto,"['sertanejo', 'sertanejo tradicional', 'sertanejo universitario']"
Canibus,"['battle rap', 'bronx hip hop', 'east coast hip hop', 'hardcore hip hop', 'queens hip hop']"
Canned Heat,"['album rock', 'blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'roots rock']"
Cannibal & The Headhunters,[]
Cannibal Corpse,"['alternative metal', 'brutal death metal', 'buffalo ny metal', 'death metal', 'metal']"
Cannibus,[]
Cannonball Adderley,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz blues', 'jazz fusion', 'soul jazz', 'stride', 'vocal jazz']"
Cannonball Adderley Quartet,[]
Cannons,['vapor soul']
Cano Estremera,"['latin jazz', 'salsa', 'salsa international', 'tropical']"
Canserbero,"['rap conciencia', 'venezuelan hip hop']"
Canticuentos,['musica para ninos']
Cantus,['norwegian choir']
Canyon City,"['acoustic pop', 'indie anthem-folk', 'indie cafe pop', 'indie folk', 'indiecoustica', 'neo mellow', 'viral pop']"
Caos,[]
Cap,"['pop', 'uk pop']"
Cap'n Jazz,[]
Capcom Sound Team,"['anime score', 'japanese vgm', 'sound team']"
Capella Brugensis,[]
Capella Istropolitana,['chamber orchestra']
Capital Cities,"['alternative dance', 'metropopolis', 'modern rock']"
Capital Kings,"['ccm', 'cedm', 'christian dance', 'christian hip hop', 'christian music', 'christian pop']"
Capital Letters,"['dub', 'reggae', 'roots reggae', 'uk reggae']"
Capital Steez,['deep east coast hip hop']
Capleton,"['dancehall', 'lovers rock', 'old school dancehall', 'reggae', 'roots reggae']"
Capone,"['chicano rap', 'g funk', 'gangster rap', 'latin hip hop', 'west coast rap']"
