artists,genres
3X Krazy,"['g funk', 'hyphy', 'west coast rap', 'west coast trap']"
3rd Bass,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']"
3rd Strike,"['nu metal', 'rap rock']"
3ï¿½ï¿½ï¿½Eï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,[]
4 Non Blondes,"['new wave pop', 'pop rock']"
4 P.M.,"['anime rock', 'vocaloid']"
4 Skins,"['oi', 'punk', 'ska']"
4 Strings,"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance', 'vocal trance']"
40 Thevz,[]
42 Dugg,"['detroit trap', 'rap', 'southern hip hop', 'trap']"
42nd Street Ensemble,['broadway']
45 Grave,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']"
4509 STARPASS Prodcutions,[]
4Him,"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']"
4Minute,"['k-pop', 'k-pop girl group']"
5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
50 Guitars of Tommy Garrett,"['ballroom', 'easy listening']"
504 Boyz,"['dirty south rap', 'pop rap', 'southern hip hop']"
520Hz,['white noise']
54-40,"['canadian indie', 'canadian rock']"
5th Ward Boyz,"['dirty south rap', 'dirty texas rap', 'gangster rap', 'houston rap']"
6 Dogs,"['dark trap', 'emo rap', 'melodic rap', 'sad rap', 'underground hip hop', 'vapor trap']"
69 Boyz,['miami bass']
6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']"
6cyclemind,"['opm', 'pinoy rock']"
6ix9ine,['emo rap']
7 Aurelius,[]
7 FN,[]
7 Seconds,"['hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge', 'thrash core']"
7 Year Bitch,"['grunge', 'riot grrrl']"
702,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
707,[]
8-Bit Arcade,"['8-bit', 'scorecore']"
808 State,"['acid house', 'big beat', 'chicago house', 'electronica', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']"
88-Keys,['alternative hip hop']
88GLAM,"['canadian hip hop', 'melodic rap', 'rap', 'southern hip hop', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']"
88rising,"['asian american hip hop', 'pop']"
8Ball,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap']"
8Ball & MJG,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']"
8father,[]
904TEZZO,[]
90sFlav,['lo-fi beats']
916frosty,"['emo rap', 'melodic rap', 'sad rap']"
93FEETOFSMOKE,"['dark trap', 'emo rap', 'glitchcore', 'sad rap']"
94 East,['minneapolis sound']
98ï¿,"['boy band', 'dance pop']"
99 Neighbors,"['indie hip hop', 'vermont indie']"
99 Percent,[]
999,"['oi', 'pub rock', 'punk']"
9lokknine,"['florida rap', 'vapor trap']"
9tails,['emo rap']
9th Wonder,"['alternative hip hop', 'hip hop', 'north carolina hip hop', 'underground hip hop']"
? & The Mysterians,"['bubblegum pop', 'chicano punk', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
?uestlove,['philly rap']
A Boogie Wit da Hoodie,"['melodic rap', 'pop rap', 'rap', 'trap']"
A Certain Ratio,"['art rock', 'chamber psych', 'dance rock', 'dance-punk', 'experimental', 'new wave', 'no wave', 'post-punk', 'sophisti-pop', 'uk post-punk']"
A Day To Remember,"['metalcore', 'pop punk', 'screamo']"
A Few Good Men,['new jack swing']
A Fine Frenzy,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock']"
A Flock Of Seagulls,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
A Foot In Coldwater,[]
A Great Big World,"['indiecoustica', 'modern rock', 'neo mellow', 'piano rock', 'pop', 'pop rock']"
A Guy Called Gerald,"['acid house', 'atmospheric dnb', 'drum and bass', 'madchester', 'techno']"
A Heart Beats,"['doo-wop', 'rhythm and blues']"
A Jam Session At Victor,[]
A L E X,"['chillhop', 'lo-fi beats']"
A Look At Yesterday,[]
A Perfect Circle,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
A Priori,['italian progressive metal']
A R I Z O N A,"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']"
A Rocket To The Moon,"['alternative pop rock', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock', 'viral pop']"
A Skylit Drive,"['metalcore', 'pixie', 'post-screamo', 'screamo']"
A Static Lullaby,"['melodic metalcore', 'post-hardcore', 'screamo']"
A Taste Of Honey,"['boogie', 'disco', 'funk', 'post-disco']"
A Thousand Horses,"['contemporary country', 'country pop', 'country road', 'modern country rock']"
A Touch Of Class,"['bubblegum dance', 'europop']"
A Tree Grows in Brooklyn Ensemble,[]
A Tree Grows in Brooklyn Orchestra,[]
A Tribe Called Quest,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']"
A Tribe Called Red,"['canadian indigenous', 'canadian indigenous hip hop', 'escape room', 'ottawa rap']"
A Winged Victory for the Sullen,"['ambient', 'chamber psych', 'compositional ambient', 'drift', 'drone', 'neo-classical', 'post-rock']"
A$AP ANT,"['baltimore hip hop', 'drill', 'underground hip hop', 'vapor trap']"
A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
A$AP Mob,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
A$AP NAST,['harlem hip hop']
A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap', 'trap', 'underground hip hop']"
A$AP Twelvyy,"['hip hop', 'rap', 'underground hip hop']"
A*Teens,"['bubblegum dance', 'dance pop', 'europop']"
A-Lin,"['anthem worship', 'canadian ccm', 'ccm', 'world worship']"
A-Lusion,"['classic hardstyle', 'euphoric hardstyle', 'rawstyle']"
A-Mei Chang,"['c-pop', 'mandopop']"
A-Trak,"['banda', 'corrido', 'nuevo regional mexicano', 'regional mexican']"
A. Caminha,[]
A. L. Lloyd,"['broadway', 'show tunes', 'west end']"
A. Likiardopoulou,[]
A. M. Rajah,"['deep indian pop', 'filmi']"
A. Merangulian,[]
A. Merangulian with folk instrumental ensemble,[]
A. P. Komala,[]
A. Pignagnoli,[]
A. R. Ojha,[]
A. R. Oza,[]
A. R. Qureshi,"['hindustani classical', 'hindustani instrumental', 'indian classical', 'tabla']"
A. Xatzixristos,[]
A.B. Quintanilla III,[]
A.B. Quintanilla III Y Los Kumbia Kings,[]
A.C. Smyth,[]
A.CHAL,['trap soul']
A.G.,[]
A.J. Croce,[]
A.Loraarrero,[]
A.R. Kane,"['dream pop', 'shoegaze', 'uk post-punk']"
A.R. Rahman,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
A.l.t.,[]
A.r.d.i.,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'uplifting trance']"
A2M,[]
A7S,['scandipop']
ABBA,"['europop', 'swedish pop']"
ABC,"[""preschool children's music""]"
ABIR,[]
ABN,"['dirty south rap', 'gangster rap', 'houston rap']"
ABSRDST,['future bass']
AC/DC,"['album rock', 'australian rock', 'hard rock', 'rock']"
ACOT,['meme rap']
AFI,"['alternative metal', 'emo', 'pop punk', 'punk', 'screamo', 'skate punk']"
AIIVAWN,[]
AILEE,"['k-pop', 'korean pop']"
AJ Meijer,[]
AJ Michalka,[]
AJ Mitchell,"['pop', 'post-teen pop', 'social media pop']"
AJ Rafael,"['opm', 'viral pop']"
AJJ,"['acoustic punk', 'anti-folk', 'folk punk', 'indie rock']"
AJR,['modern rock']
AK-7,"['duranguense', 'regional mexican']"
AL-X The Great,['meme rap']
